,CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
165,166,Female,36.0,85,75
166,167,Male,42.0,86,20
167,168,Female,33.0,86,95
168,169,Female,36.0,87,27
169,170,Male,32.0,87,63
170,171,Male,40.0,87,13
171,172,Male,28.0,87,75
172,173,Male,36.0,87,10
173,174,Male,36.0,87,92
174,175,Female,52.0,88,13
175,176,Female,30.0,88,86
176,177,Male,58.0,88,15
177,178,Male,27.0,88,69
178,179,Male,59.0,93,14
179,180,Male,35.0,93,90
180,181,Female,37.0,97,32
181,182,Female,32.0,97,86
182,183,Male,46.0,98,15
183,184,Female,29.0,98,88
184,185,Female,41.0,99,39
185,186,Male,30.0,99,97
186,187,Female,54.0,101,24
187,188,Male,28.0,101,68
188,189,Female,41.0,103,17
189,190,Female,36.0,103,85
190,191,Female,34.0,103,23
191,192,Female,32.0,103,69
192,193,Male,33.0,113,8
193,194,Female,38.0,113,91
194,195,Female,47.0,120,16
195,196,Female,35.0,120,79
196,197,Female,45.0,126,28
197,198,Male,32.0,126,74
198,199,Male,32.0,137,18
199,200,Male,30.0,137,83
